"fips","name","population","population18To34","population18To34_me","population18To34_p","population18To34_pme","white","white_me","white_p","white_pme","minority","minority_me","minority_p","minority_pme","neverMarried","neverMarried_me","neverMarried_p","neverMarried_pme","liveAlone","liveAlone_me","liveAlone_p","liveAlone_pme","educationBachelor","educationBachelor_me","educationBachelor_p","educationBachelor_pme","civilian","veteran","veteran_me","veteran_p","veteran_pme","foreignBorn","foreignBorn_me","foreignBorn_p","foreignBorn_pme","otherLanguage","otherLanguage_me","otherLanguage_p","otherLanguage_pme","medianEarnings","medianEarnings_me","povertyUniverse","poverty","poverty_me","poverty_p","poverty_pme","employed","employed_me","employed_p","employed_pme","commuter","droveToWork","droveToWork_me","droveToWork_p","droveToWork_pme","liveWithParent","liveWithParent_me","liveWithParent_p","liveWithParent_pme"
"37","North Carolina","9651380","2215070","1429","22.951",".01481","1309980","714","59.14",".05000","905095","1570","40.86",".05000","1406220","7443","63.48",".32000","171450","3441","7.74",".16000","460460","5362","20.79",".24000","2145370","62145","2189","2.9",".10000","266440","3779","12.03",".17000","337740","3217","15.25",".15000","31247","","2070545","477300","6158","23.05",".30000","1364875","5597","61.62",".25000","1403300","1278110","6191","91.08",".21000","590385","5729","26.65",".25000"
"38","North Dakota","689781","180160","504","26.118",".07307","153730","61","85.33",".24000","26435","505","14.67",".24000","114265","1297","63.42",".69000","20755","891","11.52",".49000","40310","1387","22.37",".76000","175730","5870","589","3.34",".34000","7370","580","4.09",".32000","10325","662","5.73",".37000","33610","","165870","30610","1106","18.45",".66000","137495","1155","76.32",".59000","139030","126145","1258","90.73",".47000","27785","1251","15.42",".70000"
"39","Ohio","11549590","2535025","1142","21.949",".00989","1962920","499","77.43",".04000","572110","1169","22.57",".04000","1686680","7312","66.54",".30000","204420","3204","8.06",".13000","532270","6149","21",".24000","2528595","53860","1629","2.13",".06000","136260","2460","5.38",".10000","218300","3018","8.61",".12000","32792","","2380010","521775","6398","21.92",".26000","1691405","5577","66.72",".22000","1661375","1501410","5752","90.37",".19000","737945","5746","29.11",".23000"
"40","Oklahoma","3785742","898905","799","23.744",".02111","566565","203","63.03",".06000","332335","827","36.97",".06000","502560","3484","55.91",".39000","69325","1545","7.71",".17000","153375","2480","17.06",".28000","883245","28615","1068","3.24",".12000","77570","1712","8.63",".19000","113555","1672","12.63",".19000","30622","","842775","181785","3109","21.57",".36000","589885","2920","65.62",".34000","594325","549575","3224","92.47",".24000","208110","2710","23.15",".30000"
"41","Oregon","3868721","891330","864","23.039",".02233","649140","337","72.83",".08000","242190","896","27.17",".08000","563870","4094","63.26",".45000","65880","1644","7.39",".18000","186900","3437","20.97",".39000","889195","20890","1185","2.35",".13000","118020","2717","13.24",".30000","167445","2581","18.79",".29000","32813","","855120","200725","3333","23.47",".38000","580790","3000","65.16",".33000","568705","447890","3517","78.76",".45000","205285","2856","23.03",".32000"
"42","Pennsylvania","12731381","2809180","812","22.065",".00638","2070545","678","73.71",".03000","738635","1057","26.29",".03000","1997025","6537","71.09",".23000","211895","2860","7.54",".11000","698030","6921","24.85",".24000","2805135","57870","1812","2.06",".06000","217045","2865","7.73",".10000","373690","2972","13.3",".10000","35586","","2578955","480080","6553","18.62",".26000","1838005","5737","65.43",".20000","1801405","1474915","5554","81.88",".21000","914630","6160","32.56",".22000"
"44","Rhode Island","1051695","249355","367","23.710",".03490","171295","296","68.7",".15000","78060","459","31.3",".15000","187640","1758","75.25",".71000","17335","1000","6.95",".40000","60490","1691","24.26",".68000","247375","4435","497","1.79",".20000","38995","1367","15.64",".55000","63365","1303","25.41",".53000","35856","","222435","40735","1640","18.31",".73000","167770","1867","67.28",".73000","165535","139640","1790","84.36",".61000","78805","2014","31.6",".80000"
"45","South Carolina","4679602","1081125","1107","23.103",".02366","635010","302","58.74",".07000","446115","1165","41.26",".07000","722255","3825","66.81",".35000","75170","2122","6.95",".20000","201520","3408","18.64",".32000","1053165","34265","1485","3.25",".14000","79855","2032","7.39",".19000","105160","2157","9.73",".20000","30876","","995755","229780","3790","23.08",".39000","663510","4151","61.37",".38000","677540","614735","3655","90.73",".24000","312995","3812","28.95",".36000"
"46","South Dakota","825198","190485","636","23.084",".07707","153475","214","80.57",".27000","37005","626","19.43",".27000","115720","1858","60.75",".92000","17580","924","9.23",".48000","37845","1225","19.87",".65000","188050","5970","527","3.17",".28000","8520","685","4.47",".36000","15880","914","8.34",".47000","31161","","176275","35835","1232","20.33",".67000","140170","1299","73.59",".68000","139785","123960","1513","88.68",".57000","36180","1405","18.99",".73000"
"47","Tennessee","6402387","1449005","1366","22.632",".02134","1016560","469","70.16",".08000","432445","1542","29.84",".08000","878180","5344","60.61",".36000","111420","1873","7.69",".13000","279345","3903","19.28",".27000","1438025","37920","1474","2.64",".10000","110225","2815","7.61",".19000","142270","2573","9.82",".18000","30575","","1368460","306225","4460","22.38",".33000","931295","4929","64.27",".33000","920555","863500","4210","93.8",".21000","409605","3983","28.27",".27000"
"48","Texas","25639373","6324460","1743","24.667",".00680","2472795","975","39.1",".02000","3851665","2020","60.9",".02000","3795175","12374","60.01",".20000","454785","5346","7.19",".08000","1189160","10974","18.8",".18000","6248985","173745","3527","2.78",".06000","1256705","8750","19.87",".14000","2442230","8003","38.62",".13000","31663","","6037605","1229925","9774","20.37",".16000","4127330","10435","65.26",".16000","4124530","3763025","11660","91.24",".13000","1862540","10425","29.45",".17000"
"49","Utah","2813673","766365","575","27.237",".02044","599705","379","78.25",".08000","166665","726","21.75",".08000","377445","3332","49.25",".43000","31280","1292","4.08",".17000","151800","2332","19.81",".31000","762795","14055","897","1.84",".12000","80335","2107","10.48",".27000","126605","2037","16.52",".27000","32857","","742780","126275","3062","17",".41000","542900","2635","70.84",".35000","536510","471840","2904","87.95",".37000","193880","2860","25.3",".37000"
"50","Vermont","625904","136120","343","21.748",".05480","124955","65","91.8",".23000","11165","345","8.2",".23000","98755","1076","72.55",".77000","9260","530","6.8",".39000","33055","1142","24.28",".85000","135905","2290","263","1.69",".20000","5990","467","4.4",".34000","8380","528","6.16",".39000","32865","","118620","23690","1030","19.97",".86000","92920","1080","68.26",".77000","90420","73405","1190","81.18",".82000","31810","1132","23.37",".83000"
"51","Virginia","8100653","1931650","1343","23.846",".01658","1144925","618","59.27",".05000","786725","1390","40.73",".05000","1252555","5860","64.84",".29000","136080","3209","7.04",".17000","529725","5865","27.42",".31000","1853420","84940","2138","4.58",".11000","281630","4043","14.58",".21000","355240","3786","18.39",".20000","37969","","1778565","275380","4706","15.48",".26000","1259570","4717","65.21",".24000","1310065","1117400","5111","85.29",".27000","534380","4541","27.66",".23000"
"53","Washington","6819579","1617675","782","23.721",".01147","1069475","518","66.11",".04000","548200","853","33.89",".04000","1004410","5723","62.09",".35000","127070","2811","7.86",".17000","366895","4436","22.68",".27000","1578865","50460","1824","3.2",".12000","272215","4100","16.83",".25000","370140","4059","22.88",".25000","37041","","1551930","284610","4098","18.34",".27000","1051885","4378","65.02",".27000","1066260","867855","4462","81.39",".29000","401080","3994","24.79",".25000"
"54","West VA","1853619","391350","698","21.113",".03766","354795","200","90.66",".17000","36555","742","9.34",".17000","239450","2037","61.19",".52000","28590","1189","7.31",".30000","63975","2070","16.35",".53000","390800","10540","688","2.7",".17000","8370","650","2.14",".17000","14190","744","3.63",".19000","30488","","366225","92340","2289","25.21",".61000","236145","1868","60.34",".50000","230980","210860","2100","91.29",".43000","119785","2481","30.61",".64000"
"55","Wisconsin","5706871","1278735","829","22.407",".01453","999885","284","78.19",".06000","278850","901","21.81",".06000","850595","4824","66.52",".37000","113020","2520","8.84",".20000","277740","3612","21.72",".29000","1276865","27435","1091","2.15",".09000","87510","1948","6.84",".15000","151465","2268","11.84",".17000","33297","","1200880","234700","3539","19.54",".29000","933820","3604","73.03",".28000","918525","801695","3876","87.28",".25000","316155","4078","24.72",".31000"
"56","Wyoming","570134","136090","682","23.870",".11962","112165","93","82.42",".41000","23925","676","17.58",".41000","76225","1608","56.01","1.12000","11020","842","8.1",".63000","23845","1318","17.52",".96000","133755","5655","494","4.23",".37000","6270","674","4.61",".49000","12015","879","8.83",".63000","36164","","129125","22285","1086","17.26",".83000","96890","1289","71.2",".91000","97225","85830","1246","88.28",".82000","26135","1441","19.2","1.04000"
